SVID Kennzeichen Wert Aufloesung Prioritaet Steuerung
 63. ANMELDUNG           AF   Per Fax                                 
 46. AD-TYP              1    Zweigstelle                             
 47. AD-TYP              0    Hauptanschrift                          
 48. AD-TYP              2    Heim                                    
 49. AD-TYP-BT           1    Zweigstelle                             
 50. AD-TYP-BT           0    Stammhaus                               
 53. AD-TYP-PU           0    Schüler                                 
 54. AD-TYP-LE           0    Lehrer (Hauptadresse)                   
 55. AD-TYP-SC           0    Schule                                  
 56. AD-TYP-SC           1    Aussenstelle                            
 57. ANMELDUNG           AT   Telefonisch                             
 58. ANMELDUNG           AKD! DRINGEND!! Per Anmeldekarte             
 59. ANMELDUNG           AKB! BEURLAUBT!! Per Anmeldekarte            
 60. ANMELDUNG           OA   ohne Anmeldung                          
 61. ANMELDUNG           AL   Anmeldung durch Leitung                 
 62. ANMELDUNG           AK   Per Anmeldekarte                        
103. ANZHL               10   zehn                                    
202402. VORNAMEN            Peter WernerM                                       
202405. ABSCHLUSS           WBA  Abgangszeugnis ohne Abschluss WB        
236327. VORNAMEN            Wilm M                                       
222881. VORNAMEN            Jana ElenaW                                       
131. AUF-TRAEGER         R    Regierung                               
132. AUF-TRAEGER         L    Land                                    
133. AUF-TRAEGER         G    Gemeinde                                
134. AUF-TRAEGER         SV   Schulverband                            
135. AUSB-ZIEL           B    Berufsabschlußprüfung                   
136. AUSB-ZIEL           MR   mittlere Reife                          
137. AUSB-ZIEL           AB   Abitur                                  
140. AUSTR-ART           BD   Auslandsschuldienst                     
141. AUSTR-ART           RV   Ruhestand vorzeitig auf Antrag (nach 62.Lebensjahr)          
142. AUSTR-ART           VA   Ende Arbeitsvertrag                     
143. AUSTR-ART           R    Ruhestand Altersgrenze                  
144. AUSTR-ART           BF   Beurl.familienbezogene Gründe (86a)          
145. AUSTR-ART           BA   Beurl.arbeitsmarktbezogene Gründe (80a)          
146. AUSTR-ART           BE   Erziehungsurlaub                        
147. AUSTR-ART           E    Entlassung                              
148. AUSTR-ART           SO   Sonst. Abgang                           
149. AUSTR-ART           W    Wechsel an eine and. Schule gleicher Schulart          
150. AUSTR-ART           RD   Ruhestand Dienstunfähigkeit             
151. AUSTR-ART           WL   Wechsel in den Schuldienst eines and. Landes          
152. AUSTR-ART           A    Abgang eines ausl.Lehrers in das Ausland          
153. AUSTR-ART           WS   Wechsel an eine and.bayer. Schulart          
154. AUSTR-ART           T    Tod                                     
157. AUSTR-GRUND         SB   Schulbefreiung                          
161. AUSTR-GRUND         SU   Schulbeurlaubung                        
163. KAMMER              HWÜ  HK für Unterfranken, Würzburg           
164. KAMMER              KEI  Bischöfliches Generalvikariat, Eichstätt          
165. KAMMER              BP   BM für das Post- und Fernmeldewesen, Bonn          
166. KAMMER              IA   IHK Augsburg                            
168. KAMMER              BVS  BVA, Berlin                             
167. KAMMER              RBA  RA-Kammer Bamberg                       
169. KAMMER              HM   HK für Oberbayern, München              
170. KAMMER              HPA  HK Passau                               
171. KAMMER              WD   Wirtschaftsprüferkammer, Düsseldorf          
172. KAMMER              KWÜ  Bischöfliches Generalvikariat, Würzburg          
173. KAMMER              LBB  Oberste Baubehörde im Bay.n Staatsministerium des Innern          
174. KAMMER              LMS  Bay. Staatsministerium für Arbeit und Sozialordnung          
175. KAMMER              KR   Bischöfliches Ordinariat, Regensburg          
176. KAMMER              ICO  IHK Coburg                              
177. KAMMER              LOP  Reg. der Oberpfalz                      
178. KAMMER              KPA  Bischöfliches Generalvikariat, Passau          
179. KAMMER              BSA  DB-Sozialamt, Frankfurt                 
180. KAMMER              SRN  Steuerberaterkammer Nürnberg            
181. KAMMER              HR   HK der Oberpfalz, Regensburg            
182. KAMMER              ILI  IHK Lindau(Bodensee)                    
183. KAMMER              ATM  Bay. Landestierärztekammer München          
184. KAMMER              IM   IHK für München und Oberbayern          
185. KAMMER              BVW  Bundesverwaltungsamt, Köln              
186. KAMMER              KM   Erzbischöfliches Generalvikariat, München          
187. KAMMER              KBA  Erzbischöfliches Ordinariat, Bamberg          
188. KAMMER              LNB  Reg. von Niederbayern                   
189. KAMMER              HBT  HK für Oberfranken, Bayreuth            
190. KAMMER              RM   RA-Kammer im OLG-Bez. München           
191. KAMMER              LDG  Dienstbehörde des Gerichtsvollziehers          
192. KAMMER              IBT  IHK für Oberfranken Bayreuth            
193. KAMMER              IN   IHK Nürnberg                            
194. KAMMER              HA   HK für Schwaben, Augsburg               
200. KAMMER              BV   BM für Verkehr, Bonn                    
195. KAMMER              AZM  Bay. Landeszahnärztekammer München          
196. KAMMER              LSG  Bay. Sparkassen- und Giroverband          
197. KAMMER              RN   RA-Kammer im OLG-Bez. Nürnberg          
198. KAMMER              LML  Bay. Staatsministerium für Ernährung, Landw. u. Forsten          
199. KAMMER              SRM  Steuerberaterkammer München             
201. KAMMER              PM   Pat.anw.-Kammer München                 
202. KAMMER              LMF  Reg. von Mittelfranken                  
203. KAMMER              LUF  Reg. von Unterfranken                   
204. KAMMER              BA   BfA, Nürnberg                           
205. KAMMER              BMB  Bundesmonopolverwaltung für Branntwein, Offenbach          
206. KAMMER              LSC  Reg. von Schwaben                       
207. KAMMER              SVN  Kammer der Steuerbev. Nürnberg          
208. KAMMER              LOB  Reg. von Oberbayern, München            
209. KAMMER              AÄM  Bay. Landesärztekammer München          
210. KAMMER              NM   Notarkasse München                      
211. KAMMER              LVW  Bay. Verwaltungsschule                  
212. KAMMER              SVM  Kammer der Steuerbev. München           
213. KAMMER              AP   Bay. Landesapothekerkammer              
214. KAMMER              IWÜ  IHK Würzburg-Schweinfurt                
215. KAMMER              IAB  IHK Aschaffenburg                       
216. KAMMER              BW   Wehrbereichsverwaltung VI, München          
217. KAMMER              HCO  HK Coburg                               
218. KAMMER              IPA  IHK für Niederbayern, Passau            
219. KAMMER              IR   IHK Regensburg                          
220. KAMMER              HN   HK für Mittelfranken, Nürnberg          
221. KAMMER              KA   Bischöfliches Ordinariat, Ausgburg          
240. BEREICH             7    GYM                           0         
287. BESCH-ART           A    Ausbildungsverh. mit Ausbildungsvertrag          
303. BESCH-ART           JA   Jungarbeiter                            
288. BESCH-ART           P    Ausbildungsverh. mit Praktikantenvertrag          
289. BESCH-ART           A1   Ausbildungsverh. mit Ausbildungsvertrag Ausbildungsdauer 1 Jahr          
290. BESCH-ART           OB   ohne Berufstätigkeit und Arbeitslose (ohne BVJ)          
291. BESCH-ART           OA   ohne Ausbildungsvertrag                 
292. BESCH-ART           P3,5 Ausbildungsverh. mit Praktikantenvertrag Ausbildungsdauer 3 1/2 Jahre          
293. BESCH-ART           U2,5 Umschüler mit Vertrag Ausbildungsdauer 2 1/2 Jahre          
294. BESCH-ART           TZOA Teilzeitschüler ohne Arbeitsvertrag          
295. BESCH-ART           U2   Umschüler mit Vertrag Ausbildungsdauer 2 Jahre          
296. BESCH-ART           VZ   Vollzeitschüler/in                      
297. BESCH-ART           TZMA Teilzeitschüler mit Arbeitsvertrag          
298. BESCH-ART           U1   Umschüler mit Vertrag Ausbildungsdauer 1 Jahr          
299. BESCH-ART           UAH  Ungelernte Arbeitskräfte in Hauswirtschaft          
300. BESCH-ART           BGJS Berufsgrundschuljahr - schulisch          
301. BESCH-ART           P2   Ausbildungsverh. mit Praktikantenvertrag Ausbildungsdauer 2 Jahre          
302. BESCH-ART           MFL  Mithelfende Familienangehörige in Landwirtschaft etc.          
304. BESCH-ART           U3   Umschüler mit Vertrag Ausbildungsdauer 3 Jahre          
305. BESCH-ART           A3,5 Ausbildungsverh. mit Ausbildungsvertrag Ausbildungsdauer 3 1/2 Jahre          
306. BESCH-ART           TLA  Teilnehmer an Lehrgängen der Arbeitsverwaltung          
307. BESCH-ART           UAL  Ungelernte Arbeitskräfte in Landwirtschaft/Gartenbau          
308. BESCH-ART           P1   Ausbildungsverh. mit Praktikantenvertrag Ausbildungsdauer 1 Jahr          
334. BESOL-GRUPPE        A9   A9                                      
309. BESCH-ART           U3,5 Umschüler mit Vertrag Ausbildungsdauer 3 1/2 Jahre          
310. BESCH-ART           MFA  Mithelfende Familienangehörige außerhalb Landwirtschaft          
311. BESCH-ART           BVJJ Berufsgrundschuljahr - Zug J (BVJ)          
312. BESCH-ART           U1,5 Umschüler mit Vertrag Ausbildungsdauer 1 1/2 Jahre          
313. BESCH-ART           P1,5 Ausbildungsverh. mit Praktikantenvertrag Ausbildungsdauer 1 1/2 Jahre          
314. BESCH-ART           P2,5 Ausbildungsverh. mit Praktikantenvertrag Ausbildungsdauer 2 1/2 Jahre          
315. BESCH-ART           UAS  Ungelernte Arbeitskräfte in sonstigen Arbeitsbereichen          
316. BESCH-ART           A3   Ausbildungsverh. mit Ausbildungsvertrag Ausbildungsdauer 3 Jahre          
317. BESCH-ART           P3   Ausbildungsverh. mit Praktikantenvertrag Ausbildungsdauer 3 Jahre          
318. BESCH-ART           SO   sonstige                                
319. BESCH-ART           A1,5 Ausbildungsverh. mit Ausbildungsvertrag Ausbildungsdauer 1 1/2 Jahre          
320. BESCH-ART           A2,5 Ausbildungsverh. mit Ausbildungsvertrag Ausbildungsdauer 2 1/2 Jahre          
321. BESCH-ART           A2   Ausbildungsverh. mit Ausbildungsvertrag Ausbildungsdauer 2 Jahre          
322. BESCH-ART           U    Umschüler mit Vertrag                   
323. BESCH-ART           JK   Jungangestellte in kaufmännischen Berufen          
326. BESCH-VER           RO   ReferendarIn ohne Unterrichtsauftrag          
328. BESCH-VER           WA   Auslän.AustauschlehrerIn                
329. BESCH-VER           VZ   Vollzeitlehrkraft                       
330. BESCH-VER           TZ   Teilzeitlehrkraft (mindestens 50% UPZth)          
331. BESCH-VER           RM   ReferendarIn mit Unterrichtsauftrag          
332. BESOL-GRUPPE        A15  A15                                     
333. BESOL-GRUPPE        BIIA BIIa                                    
335. BESOL-GRUPPE        B3   B3                                      
336. BESOL-GRUPPE        BIIZ BIIz                                    
337. BESOL-GRUPPE        A12  A12                                     
338. BESOL-GRUPPE        BIB  BIb                                     
339. BESOL-GRUPPE        BII  BII                                     
340. BESOL-GRUPPE        BVIB BVIb                                    
341. BESOL-GRUPPE        BIIB BIIb                                    
342. BESOL-GRUPPE        A16  A16                                     
343. BESOL-GRUPPE        STBZ Stundenweise Bezahlung                  
344. BESOL-GRUPPE        BIVB BIVb                                    
345. BESOL-GRUPPE        A14  A14                                     
346. BESOL-GRUPPE        BVC  BVc                                     
347. BESOL-GRUPPE        BVB  BVb                                     
348. BESOL-GRUPPE        BIA  BIa                                     
349. BESOL-GRUPPE        BIVA BIVa                                    
350. BESOL-GRUPPE        BIII BIII                                    
351. BESOL-GRUPPE        A15 ZA15 Z                                   
352. BESOL-GRUPPE        A13 ZA13 Z                                   
353. BESOL-GRUPPE        A13  A13                                     
354. BESOL-GRUPPE        A11  A11                                     
355. BESOL-GRUPPE        A10  A10                                     
356. BRBT1               MUSTEMusterbrief für Betriebe      ADR       
357. BRBT1               FAX-2Telefax Nr. 2   (fehlt!)      FAX-2     
358. BRBT1               FAX-1Telefax Nr. 1   (fehlt!)      FAX-1     
359. BRBT2               EL1  Einladung zur Probezeitbesprechung   (fehlt!)EL1       
360. BRPU1               PU-FEMitteilung über Fehltage (Schüler/Betrieb)PU-FE     
361. BRPU1               VW   Verweis an Schüler            VW        
362. BRPU1               MA   Mahnung an Schüler    (fehlt!)MA        
363. BRPU1               ALL  Allgemeine Informationen                
364. BRPU1               BEM  freie Zeugnisbemerkung        BE        
365. BRPU1               MUSTEMusterbrief für Schüler       ADR       
1267. LESTA               J    Ja                                      
366. BRPU2               AA   Abbruchgrund                  AA        
367. BRPU2               ALL  Allgemeine Informationen                
368. BRPU2               SW   Schulwechsel                  SW        
369. BRPU3               PU-KUAnschreiben wegen Kündigung   PU-KU     
370. BRTYP               BE   freie Zeugnis-Bemerkungen     BE        
371. BRTYP               VW   Verweis                       VW        
372. BRTYP               RE   Rechnung                                
373. BRTYP               EL   Einladung                               
374. BRTYP               FAX  Telefax                       ADR       
375. BRTYP               MA   Mahnung                                 
376. BRTYP               SCHR Schriftwechsel                ADR       
377. BT-AR-TYP           HL   Hauptlieferant                          
378. BT-TYP-1            L    Lieferant                               
379. BT-TYP-1            H    Heim                                    
380. BT-TYP-2            0    VIP-Firma                               
381. DIENST-BEZ          OVR  Oberverwaltungsrat/rätin                
382. DIENST-BEZ          OSTR Oberstudienrat/rätin                    
383. DIENST-BEZ          OSTD Oberstudiendirektor                     
384. DIENST-BEZ          LAV  Lehrkraft mit Arbeitsvertrag            
385. DIENST-BEZ          STREFStudienreferendar/in                    
386. DIENST-BEZ          FOL  Fachoberlehrer/in                       
387. DIENST-BEZ          LASS LehramtsassessorIn                      
388. DIENST-BEZ          FLZA Fachlehrerin z. A.                      
389. DIENST-BEZ          FL   Fachlehrer/in                           
390. DIENST-BEZ          STR  Studienrat/rätin                        
392. DIENST-BEZ          SO   sonstige                                
393. DIENST-BEZ          WSTA WerkstattausbilderIn                    
394. DIENST-BEZ          STD  Studiendirektor/in                      
395. DIENST-BEZ          RSL  Realschullehrer/in                      
410. ERZ-ART             B    Bruder                                  
397. DIENST-BEZ          PF   Pfarrer                                 
398. EINTR-ART           WL   Wechsel aus d.Schuldienst eines and.Landes          
399. EINTR-ART           BE   Erziehungsurlaub, Rückkehr nach          
400. EINTR-ART           W    Wechsel aus einer and.bayer.Schule gleicher Schulart          
401. EINTR-ART           B    Neueintritt aus anderem Beruf           
402. EINTR-ART           BD   Auslandsschuldienst, Rückkehr nach          
403. EINTR-ART           A    Zugang eines ausländischen Lehrers aus d. Ausland          
404. EINTR-ART           WS   Wechsel aus einer and.bayer.Schule          
405. EINTR-ART           P    Prüfung ,unmittelbar danach             
406. EINTR-ART           SO   Sonst. Zugang                           
407. EINTR-ART           BA   Beurl.arbeitsmarktbez.Gründe (80a), Rückkehr nach          
408. EINTR-ART           BF   Beurl.familienbezogene Gründe (86a), Rückkehr nach          
409. EINTR-ART           PW   Lehrertätigkeit in Wirtschaft, Privatschule, anderer Träger          
413. ERZ-ART             V    Vater                                   
417. ERZ-ART             M    Mutter                                  
418. FAECHER             EN-F Englisch (Stufe F)                      
419. FAECHER             DE   Deutsch                                 
420. FAECHER             BP   Betriebswirtschaftliche Prozesse          
421. FAECHER             FENA Fachenglisch (St. A)                    
422. FAECHER             FT3  Fachtheorie                             
423. FAECHER             FENF Fachenglisch (St. F)                    
424. FAECHER             PF2  Prakt. Fachkunde                        
425. FAECHER             SM4  Schalten und Messen                     
426. FAECHER             SM3  Schalten und Messen                     
427. FAECHER             FT4  Fachtheorie                             
428. FAECHER             FP1  Fachpraxis                              
446. FAECHER             MA   Mathematik                              
429. FAECHER             FP2  Fachpraxis                              
430. FAECHER             AP   Anwendungsentw. u. Programmierung          
431. FAECHER             FP4  Fachpraxis                              
432. FAECHER             FT1  Fachtheorie                             
433. FAECHER             DV   Datenverarbeitung                       
434. FAECHER             FZ   Fachzeichnen                            
435. FAECHER             GRU  Grundlagen der Elektrotechnik           
436. FAECHER             GVER Güterverkehr                            
437. FAECHER             GET  Gerätetechnik                           
438. FAECHER             IF10 Unterricht im IFU 10                    
439. FAECHER             PF   Prakt. Fachkunde                        
440. FAECHER             IF12 Unterricht im IFU 12                    
441. FAECHER             IA   IT-Anwendungen                          
442. FAECHER             IF5  Unterricht im IFU 5                     
443. FAECHER             IF6  Unterricht im IFU 6                     
444. FAECHER             IF8  Unterricht im IFU 8                     
445. FAECHER             IF7  Unterricht im IFU 7                     
447. FAECHER             KAMM Kammerprüfung                           
448. FAECHER             MARE Marketing und Rechnungswesen            
449. FAECHER             IF3  Unterricht im IFU 3                     
450. FAECHER             PF1  Prakt. Fachkunde                        
451. FAECHER             IS   IT-Systeme                              
452. FAECHER             FT2  Fachtheorie                             
453. FAECHER             PF4  Prakt. Fachkunde                        
454. FAECHER             PF5  Prakt. Fachkunde                        
455. FAECHER             PF3  Prakt. Fachkunde                        
456. FAECHER             PFM  Prakt. Fachkunde Metalltechnik          
457. FAECHER             RGV  Reise- und Güterverkehr                 
458. FAECHER             PFE  Prakt. Fachkunde Elektrotechnik          
459. FAECHER             RV   Religionslehre (ev)                     
460. FAECHER             SK   Sozialkunde                             
1658. NOBEF               M000                                         
461. FAECHER             SM1  Schalten und Messen                     
462. FAECHER             RK   Religionslehre (rk)                     
463. FAECHER             IF9  Unterricht im IFU 9                     
464. FAECHER             SM2  Schalten und Messen                     
465. FAECHER             VN   Versorgungsnetze                        
466. FAECHER             SM5  Schalten und Messen                     
467. FAECHER             SM10 Schalten und Messen                     
468. FAECHER             ANL  Anlagentechnik                          
469. FAECHER             SM9  Schalten und Messen                     
470. FAECHER             ST   Schaltungstechnik                       
471. FAECHER             FP   Fachpraxis                              
472. FAECHER             SM8  Schalten und Messen                     
473. FAECHER             VS   Vernetzte Systeme                       
474. FAECHER             IF4  Unterricht im IFU 4                     
475. FAECHER             FT5  Fachtheorie                             
476. FAECHER             SYS  Steuerungs- und Systemtechnik           
477. FAECHER             IF1  Unterricht im IFU 1                     
478. FAECHER             FT   Fachtheorie                             
479. FAECHER             FR   Fachrechnen                             
480. FAECHER             TK   Technische Kommunikation                
481. FAECHER             FP3  Fachpraxis                              
482. FAECHER             FP5  Fachpraxis                              
483. FAECHER             IF2  Unterricht im IFU 2                     
484. FAECHER             IF11 Unterricht im IFU 11                    
485. FAECHER             AWL  Allgemeine Wirtschaftslehre             
486. FAECHER             ET   Ethik                                   
487. FAECHER             FEN  Fachenglisch                            
488. FAECHER             EN-A Englisch (Stufe A)                      
489. FAECHER             AP-S Abschlußprüfung (schulisch)             
490. FAECHER             EN   Englisch                                
491. FAECHER             BD   Betriebsdienst                          
492. FAECHER             AP-K Abschlußprüfung (koordiniert)           
493. FAECHER             ELO  Elektronik                              
494. FAECHER             DW   Datenverarbeitung                       
495. FAECHER             SM7  Schalten und Messen                     
496. FAECHER             FMT  Fahrzeug- und Maschinentechnik          
497. FAECHER             SM6  Schalten und Messen                     
498. FAECHER             SP   Sport                                   
499. FAECHER             RVER Reiseverkehr                            
500. FAECHER             SM   Schalten und Messen                     
501. FAECHER-ART         P    Pflichtfach                             
502. FAECHER-ART         PR   Pflicht-Prüfungsfach                    
503. FAECHER-ART         W    Wahlfach                                
504. FAECHER-ART         K    Kernfach                                
505. FA-KM-NUM           2    Km 2                                    
506. FA-KM-NUM           1    KM 1                                    
507. FA-LA-NUM           2    stlan 2                                 
508. FA-LA-NUM           1    stlan 1                                 
509. FKE-ART             1    Voll                                    
510. FKE-ART             2    Halb                                    
511. FKO-TYP             1    BK                                      
513. FUNKTION            SP   Schulpsychologe/in                      
514. FUNKTION            MB   Mädchenbeauftragte                      
515. FUNKTION            DB   Drogenbeauftragte/r                     
516. FUNKTION            DS   SchulleiterIn                           
517. FUNKTION            UB   Umweltbeauftragte/r                     
518. FUNKTION            PÖ   Personalrat/rätin Dienststelle          
519. FUNKTION            FY   SystembetreuerIn                        
520. FUNKTION            FV   VerbindungslehrerIN                     
521. FUNKTION            FS   StundenplanreferentIn                   
522. FUNKTION            FL   SammlungsleiterIn-Bücherei-Sprachlabor          
523. FUNKTION            FB   BeratungslehrerIn                       
524. FUNKTION            DA   LeiterIn  d.Außenstellen                
525. FUNKTION            DM   MitarbeiterIn der Schulleitung          
526. FUNKTION            FF   FachbetreuerIn                          
527. FUNKTION            SB   Sicherheitsbeauftragte/r                
528. FUNKTION            LL   SeminarlehrerIn                         
529. FUNKTION            FX   sonst. schulgebundene Funktion          
530. FUNKTION            PH   Personalrat/rätin Gesamt                
531. FUNKTION            PB   Personalrat/rätin Referat               
532. FUNKTION            DV   SchulleiterstellvertreterIn             
535. GRUNDSPRENGEL       1583-09175131Oberpframmern                           
536. GRUNDSPRENGEL       1597-09175113Baiern                                  
537. GRUNDSPRENGEL       1597-09175114Bruck (Oberbay)                         
538. GRUNDSPRENGEL       1597-09175121Glonn                                   
539. GRUNDSPRENGEL       1597-09175124Kirchseeon                              
540. GRUNDSPRENGEL       1597-09175131Oberpframmern                           
541. GRUNDSPRENGEL       1597-09175132Vaterstetten                            
542. GRUNDSPRENGEL       1705-09175124Kirchseeon                              
543. GRUNDSPRENGEL       1705-09175128Moosach                                 
544. GRUNDSPRENGEL       1741-09188Landkreis Starnberg                     
545. GRUNDSPRENGEL       1741-09184Landkreis München                       
546. GRUNDSPRENGEL       1741-09175128Moosach                                 
547. GRUNDSPRENGEL       1741-09175132Vaterstetten                            
548. GRUNDSPRENGEL       1741-09175139Zorneding                               
549. GRUNDSPRENGEL       1741-09175131Oberpframmern                           
550. GRUNDSPRENGEL       1741-09175121Glonn                                   
551. GRUNDSPRENGEL       1741-09175124Kirchseeon                              
552. GRUNDSPRENGEL       1741-09175116Egmating                                
553. GRUNDSPRENGEL       1741-09175114Bruck (Oberbay)                         
554. GRUNDSPRENGEL       1741-09162Stadt München                           
555. GRUNDSPRENGEL       1705-09188Landkreis Starnberg                     
908. LEERW               CH   Chor                                    
556. GRUNDSPRENGEL       1705-09184Landkreis München                       
557. GRUNDSPRENGEL       1705-09175139Zorneding                               
558. GRUNDSPRENGEL       1705-09175132Vaterstetten                            
559. GRUNDSPRENGEL       1705-09175131Oberpframmern                           
560. GRUNDSPRENGEL       1705-09175121Glonn                                   
561. GRUNDSPRENGEL       1705-09175116Egmating                                
562. GRUNDSPRENGEL       1705-09175114Bruck (Oberbay)                         
563. GRUNDSPRENGEL       1705-09175113Baiern                                  
564. GRUNDSPRENGEL       1705-09162Stadt München                           
565. GRUNDSPRENGEL       1597-09188Landkreis Starnberg                     
566. GRUNDSPRENGEL       1597-09184Landkreis München                       
567. GRUNDSPRENGEL       1597-09175139Zorneding                               
568. GRUNDSPRENGEL       1741-09175113Baiern                                  
569. GRUNDSPRENGEL       1597-09175128Moosach                                 
570. GRUNDSPRENGEL       1597-09175116Egmating                                
571. GRUNDSPRENGEL       1597-09162Stadt München                           
572. GRUNDSPRENGEL       1583-09188Landkreis Starnberg                     
573. GRUNDSPRENGEL       1583-09184Landkreis München                       
574. GRUNDSPRENGEL       1583-09175139Zorneding                               
575. GRUNDSPRENGEL       1583-09175132Vaterstetten                            
576. GRUNDSPRENGEL       1583-09162Stadt München                           
577. GRUNDSPRENGEL       1583-09175113Baiern                                  
578. GRUNDSPRENGEL       1583-09175128Moosach                                 
579. GRUNDSPRENGEL       1583-09175124Kirchseeon                              
580. GRUNDSPRENGEL       1583-09175121Glonn                                   
581. GRUNDSPRENGEL       1583-09175116Egmating                                
582. GRUNDSPRENGEL       1583-09175114Bruck (Oberbay)                         
916. LEERW               L    Latein                                  
583. HEIMSCHUELER        HEIM H                                       
584. JAHRG               11   Jahrgang 11                             
585. JAHRG               12   Jahrgang 12                             
587. JAHRG               89   1989/90                                 
588. JAHRG               88   1988/89                                 
589. JAHRG               14   Jahrgang 14                             
590. JAHRG               13   Jahrgang 13                             
596. KATEGORIE           01   Hauoptkt 01                   01        
597. KATEGORIE           02   02-wert                       02        
793. KL-GLIED-PLAN       3001.10Jungarbeiter                            
794. KL-GLIED-PLAN       2091.10AFachinformatiker - Anwendungsentwicklung          
795. KL-GLIED-PLAN       3014.10Berufsvorbereitungsjahr Sonstige          
796. KL-GLIED-PLAN       3002.10Berufsvorbereitungsjahr Elektro mit Ergänzung          
797. KL-GLIED-PLAN       2091.11AFachinformatiker - Anwendungsentwicklung          
798. KL-GLIED-PLAN       2091.11Fachinformatiker - Systemintegration          
799. KL-GLIED-PLAN       2061.10Technische Zeichner - Elektrotechnik          
800. KL-GLIED-PLAN       0314.11Technische Zeichner - Elektro           
801. KL-GLIED-PLAN       0313.12Prozeßleitelektroniker                  
802. KL-GLIED-PLAN       0310.12Fernmeldeanlagenelektroniker            
803. KL-GLIED-PLAN       0309.13KKomm.-el. - Telekommunikationstechnik          
804. KL-GLIED-PLAN       0308.12Komm.-el. - Funktechnik                 
805. KL-GLIED-PLAN       0307.13Kommunikationselektroniker (Informationstechnik)          
806. KL-GLIED-PLAN       0304.13IE - Produktionstechnik                 
807. KL-GLIED-PLAN       0303.12AEnergieelektroniker - Anlagentechnik          
808. KL-GLIED-PLAN       2091.10Fachinformatiker - Systemintegration          
811. KL-GLIED-PLAN       00030Jungarbeiter                            
809. KL-GLIED-PLAN       0301.11MElektromaschinenbauer                   
810. KL-GLIED-PLAN       0301.11IElektroinstallateure                    
812. KL-GLIED-PLAN       0301.11Energieelektroniker                     
813. KL-GLIED-PLAN       0301.10Elektrotechnik                          
814. KL-GLIED-PLAN       0201.12Teilzeichner - Elektrotechnik           
815. KL-GLIED-PLAN       0201.13Teilzeichner - Elektrotechnik           
816. KL-GLIED-PLAN       0201.11Teilzeichner - Elektrotechnik           
817. KL-GLIED-PLAN       0301.11AEnergieelektroniker - Anlagentechnik          
818. KL-GLIED-PLAN       0301.10MElektrotechnik                          
819. KL-GLIED-PLAN       00004Teilnehmer an Lehrgängen der Arbeitsverwaltung          
820. KL-GLIED-PLAN       0301.11I1Elektroinstallateure                    
821. KL-GLIED-PLAN       0301.11I2Elektroinstallateure                    
822. KL-GLIED-PLAN       0301.11I3Elektroinstallateure                    
823. KL-GLIED-PLAN       0301.11EEEE - Anl.-/Betriebst.                   
